Age,Nationality,Potential,Club,Value,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Position,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes
2,107,2,7,1,3,1,1.0,4.0,4.0,8,5,0,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,4,4,5,5,5,4,4,4,4,4,3,4,2,2,4,4,4,4,2,2,2,1,1,1,1,1
2,155,3,616,1,2,0,2.0,3.0,2.0,8,5,7,5,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,2,2,5,4,2,4,2,2,4,4,4,4,3,4,3,3,4,4,5,2,4,4,2,3,3,5,4,5,4,1,1,1,1,1
1,6,2,405,1,2,0,1.0,3.0,3.0,8,2,21,2,2,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,4,5,5,5,4,5,3,4,4,3,3,2,3,4,3,2,4,2,2,2,1,1,1,1,1
3,40,1,303,1,3,1,1.0,2.0,3.0,2,2,21,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,3,2,1,1,1,1,1
1,61,3,12,1,3,1,1.0,3.0,3.0,6,5,19,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,3,4,3,3,4,4,4,4,4,4,4,4,3,4,3,3,4,4,3,4,3,4,4,4,4,1,1,1,1,1
2,46,2,133,1,2,1,1.0,3.0,4.0,7,2,0,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,2,3,3,4,3,3,3,4,5,5,5,4,4,3,3,4,3,4,3,2,4,3,3,4,3,2,2,1,1,1,1,1
1,65,2,189,1,2,1,1.0,3.0,3.0,2,2,13,2,1,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,2,2,2,3,3,4,3,3,3,4,3,3,3,4,5,5,5,3,5,3,3,3,2,3,3,2,3,3,3,4,2,2,2,1,1,1,1,1
4,13,1,486,1,3,0,2.0,3.0,2.0,0,5,7,4,4,4,4,4,3,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,3,3,3,4,3,4,3,4,2,4,4,4,5,4,5,4,4,3,4,5,4,4,4,1,1,1,1,1
2,77,2,382,1,3,1,1.0,4.0,3.0,6,5,4,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,3,4,4,4,4,5,4,5,4,4,4,2,4,4,4,3,4,4,4,4,4,4,1,1,1,1,1
2,137,1,237,1,2,1,1.0,3.0,3.0,6,5,23,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,2,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,2,4,3,3,4,3,2,2,1,1,1,1,1
